GmNo,Date,Ignore01,Tm,Ignore02,Opp,Res,R,RA,Inn,Rec,Rank,GB,Win,Loss,Save,Time,DN,Attendance,Streak,OrigScheduled
1,Thursday Mar 29,boxscore,NYY,@,TOR,W,6,1,,1-0,1,Tied,Severino,Happ,,2:51,D,48115,+,
2,Friday Mar 30,boxscore,NYY,@,TOR,W,4,2,,2-0,1,up 0.5,Tanaka,Sanchez,Chapman,2:49,N,33716,++,
3,Saturday Mar 31,boxscore,NYY,@,TOR,L,3,5,,2-1,1,Tied,Tepera,Betances,Osuna,2:37,D,37692,-,
4,Sunday Apr 1,boxscore,NYY,@,TOR,L,4,7,,2-2,2,1.0,Clippard,Robertson,Oh,3:03,D,29091,--,
5,Tuesday Apr 3,boxscore,NYY,,TBR,W,11,4,,3-2,3,1.5,Kahnle,Pruitt,,3:29,D,46776,+,
6,Wednesday Apr 4,boxscore,NYY,,TBR,W,7,2,,4-2,2,1.0,Severino,Snell,,2:44,D,40028,++,
7,Thursday Apr 5,boxscore,NYY,,BAL,L,2,5,,4-3,2,2.0,Cashner,Tanaka,Brach,3:15,N,33653,-,
8,Friday Apr 6,boxscore,NYY,,BAL,L,3,7,14,4-4,3,2.5,Araujo,Holder,,5:20,N,34244,--,
9,Saturday Apr 7,boxscore,NYY,,BAL,W,8,3,,5-4,2,2.5,Gray,Tillman,,3:03,D,34388,+,
10,Sunday Apr 8,boxscore,NYY,,BAL,L,7,8,12,5-5,3,3.5,Bleier,Warren,Brach,4:48,D,37096,-,
11,Tuesday Apr 10,boxscore,NYY,@,BOS,L,1,14,,5-6,3,4.5,Sale,Severino,,3:11,N,32357,--,
12,Wednesday Apr 11,boxscore,NYY,@,BOS,W,10,7,,6-6,3,3.5,Tanaka,Price,,3:59,N,32400,+,
13,Thursday Apr 12,boxscore,NYY,@,BOS,L,3,6,,6-7,3,4.5,Porcello,Gray,Kimbrel,3:01,N,36341,-,
14,Friday Apr 13,boxscore,NYY,@,DET,W,8,6,,7-7,3,4.5,Montgomery,Fiers,Chapman,3:28,N,21363,+,
15,Monday Apr 16,boxscore,NYY,,MIA,W,12,1,,8-7,3,5.0,Severino,Smith,,3:38,N,32525,++,
16,Tuesday Apr 17,boxscore,NYY,,MIA,L,1,9,,8-8,3,6.0,Garcia,Tanaka,,3:11,N,34005,-,
17,Thursday Apr 19,boxscore,NYY,,TOR,W,4,3,,9-8,3,6.5,Green,Sanchez,Chapman,3:00,N,36665,+,
18,Friday Apr 20,boxscore,NYY,,TOR,L,5,8,,9-9,3,7.5,Estrada,German,Osuna,3:22,N,39197,-,
19,Saturday Apr 21,boxscore,NYY,,TOR,W,9,1,,10-9,3,6.5,Montgomery,Stroman,,2:50,D,40986,+,
20,Sunday Apr 22,boxscore,NYY,,TOR,W,5,1,,11-9,3,5.5,Severino,Garcia,,2:47,D,43628,++,
21,Monday Apr 23,boxscore,NYY,,MIN,W,14,1,,12-9,3,5.0,Tanaka,Odorizzi,,3:38,N,39249,+++,
22,Tuesday Apr 24,boxscore,NYY,,MIN,W,8,3,,13-9,3,4.0,Sabathia,Berrios,,3:11,N,39025,++++,
23,Wednesday Apr 25,boxscore,NYY,,MIN,W,7,4,,14-9,2,4.0,Green,Lynn,Chapman,3:40,N,39243,+++++,
24,Thursday Apr 26,boxscore,NYY,,MIN,W-wo,4,3,,15-9,2,4.0,Betances,Rodney,,3:05,D,40758,++++++,
25,Friday Apr 27,boxscore,NYY,@,LAA,W,4,3,10,16-9,2,3.0,Robertson,Parker,Chapman,3:15,N,40416,+++++++,
26,Saturday Apr 28,boxscore,NYY,@,LAA,W,11,1,,17-9,2,2.0,Tanaka,Richards,,3:09,N,44649,++++++++,
27,Sunday Apr 29,boxscore,NYY,@,LAA,W,2,1,,18-9,2,2.0,Sabathia,Skaggs,Chapman,3:00,N,44593,+++++++++,
28,Monday Apr 30,boxscore,NYY,@,HOU,L,1,2,,18-10,2,3.0,Morton,Gray,Giles,2:31,N,30061,-,
29,Tuesday May 1,boxscore,NYY,@,HOU,W,4,0,,19-10,2,2.0,Robertson,Giles,,2:57,N,34386,+,
30,Wednesday May 2,boxscore,NYY,@,HOU,W,4,0,,20-10,2,2.0,Severino,Keuchel,,2:31,N,31617,++,
31,Thursday May 3,boxscore,NYY,@,HOU,W,6,5,,21-10,2,1.0,Shreve,Harris,Chapman,3:11,D,34838,+++,
32,Friday May 4,boxscore,NYY,,CLE,W-wo,7,6,,22-10,2,1.0,Chapman,Ogando,,3:22,N,46869,++++,
33,Saturday May 5,boxscore,NYY,,CLE,W,5,2,,23-10,2,1.0,Gray,Bauer,Robertson,2:31,D,43075,+++++,
34,Sunday May 6,boxscore,NYY,,CLE,W-wo,7,4,,24-10,2,1.0,Shreve,Allen,,3:05,D,40107,++++++,
35,Tuesday May 8,boxscore,NYY,,BOS,W,3,2,,25-10,1,Tied,Robertson,Hembree,Chapman,3:29,N,45773,+++++++,
36,Wednesday May 9,boxscore,NYY,,BOS,W,9,6,,26-10,1,up 1.0,Holder,Barnes,Chapman,3:42,N,47088,++++++++,
37,Thursday May 10,boxscore,NYY,,BOS,L,4,5,,26-11,1,Tied,Kelly,Betances,Kimbrel,3:21,N,46899,-,
38,Friday May 11,boxscore,NYY,,OAK,L,5,10,,26-12,1,Tied,Graveman,Gray,Treinen,3:02,N,43093,--,
39,Saturday May 12,boxscore,NYY,,OAK,W-wo,7,6,11,27-12,1,Tied,Cole,Hatcher,,4:15,D,41859,+,
40,Sunday May 13,boxscore,NYY,,OAK,W,6,2,,28-12,1,Tied,Severino,Anderson,,3:07,D,40538,++,
41,Tuesday May 15,boxscore,NYY,@,WSN,T,3,3,6,28-12,1,up 1.0,,,,1:55,N,41567,++,
42,Friday May 18,boxscore,NYY,@,KCR,L,2,5,,28-13,1,Tied,Junis,Sabathia,Herrera,2:46,N,26433,-,
43,Saturday May 19,boxscore,NYY,@,KCR,W,8,3,,29-13,1,Tied,Severino,Duffy,,2:57,N,33684,+,
44,Sunday May 20,boxscore,NYY,@,KCR,W,10,1,,30-13,1,Tied,Gray,Skoglund,,2:31,D,24121,++,
45,Monday May 21,boxscore,NYY,@,TEX,W,10,5,,31-13,1,up 0.5,Tanaka,Colon,,3:07,N,29553,+++,
46,Tuesday May 22,boxscore,NYY,@,TEX,L,4,6,,31-14,2,0.5,Hamels,German,Kela,3:07,N,30325,-,
47,Wednesday May 23,boxscore,NYY,@,TEX,L,10,12,,31-15,2,1.5,Claudio,Robertson,Kela,3:20,N,31304,--,
48,Friday May 25,boxscore,NYY,,LAA,W,2,1,,32-15,2,1.0,Green,Johnson,Chapman,3:00,N,46056,+,
49,Saturday May 26,boxscore,NYY,,LAA,L,4,11,,32-16,2,2.0,Barria,Gray,,3:30,N,44565,-,
50,Sunday May 27,boxscore,NYY,,LAA,W,3,1,,33-16,2,1.0,Tanaka,Richards,Chapman,3:27,D,46109,+,
51,Monday May 28,boxscore,NYY,,HOU,L,1,5,,33-17,2,2.0,Verlander,German,,3:14,D,46583,-,
52,Tuesday May 29,boxscore,NYY,,HOU,W-wo,6,5,10,34-17,2,2.0,Chapman,Peacock,,3:47,N,45458,+,
53,Wednesday May 30,boxscore,NYY,,HOU,W,5,3,,35-17,2,2.0,Severino,Keuchel,Chapman,2:47,N,45229,++,